"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"i3xg","#E001","Hoa sự kiện E 001","
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-001.jpg","Bình thường","Kích thước",5000000
"i3xg","#E001","Hoa sự kiện E 001","
","Hoa cưới>Xe hoa","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-001.jpg","Lớn hơn (+30%)","Kích thước",6500000
"1udr","#E003","Hoa sự kiện E 003","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-003.jpg","Bình thường","Kích thước",16000000
"1udr","#E003","Hoa sự kiện E 003","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-003.jpg","Lớn hơn (+30%)","Kích thước",20800000
"i4r3r","#E004","Hoa sự kiện E 004","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-004.jpg","Bình thường","Kích thước",3000000
"i4r3r","#E004","Hoa sự kiện E 004","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-004.jpg","Lớn hơn (+30%)","Kích thước",3900000
"cltec","#E005","Hoa sự kiện E 005","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-005.jpg","Bình thường","Kích thước",6000000
"cltec","#E005","Hoa sự kiện E 005","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-005.jpg","Lớn hơn (+30%)","Kích thước",7800000
"hag0f","#E006","Hoa sự kiện E 006","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-006.jpg","Bình thường","Kích thước",6000000
"hag0f","#E006","Hoa sự kiện E 006","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-006.jpg","Lớn hơn (+30%)","Kích thước",7800000
"4cn1n","#E007","Hoa sự kiện E 007","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-007.jpg","Bình thường","Kích thước",1000000
"4cn1n","#E007","Hoa sự kiện E 007","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-007.jpg","Lớn hơn (+30%)","Kích thước",1300000
"wm8x","#E008","Hoa sự kiện E 008","
<p>Hoa sự kiện, tối thiểu 10 bó hoa</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-008.jpg","Bình thường","Kích thước",200000
"wm8x","#E008","Hoa sự kiện E 008","
<p>Hoa sự kiện, tối thiểu 10 bó hoa</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-008.jpg","Lớn hơn (+30%)","Kích thước",260000
"h0gym","#E009","Hoa sự kiện E 009","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-009.jpg","Bình thường","Kích thước",9000000
"h0gym","#E009","Hoa sự kiện E 009","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-009.jpg","Lớn hơn (+30%)","Kích thước",11700000
"o5wjl","#E010","Hoa sự kiện E 010","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-010.jpg","Bình thường","Kích thước",500000
"o5wjl","#E010","Hoa sự kiện E 010","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-010.jpg","Lớn hơn (+30%)","Kích thước",650000
"dah9g","#E011","Hoa sự kiện E 011","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-011.jpg","Bình thường","Kích thước",5000000
"dah9g","#E011","Hoa sự kiện E 011","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-011.jpg","Lớn hơn (+30%)","Kích thước",6500000
"4mv53","#E012","Hoa sự kiện E 012","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-012.jpg","Bình thường","Kích thước",1500000
"4mv53","#E012","Hoa sự kiện E 012","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-012.jpg","Lớn hơn (+30%)","Kích thước",1950000
"4exer","#E013","Hoa sự kiện E 013","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-013.jpg","Bình thường","Kích thước",200000
"4exer","#E013","Hoa sự kiện E 013","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-013.jpg","Lớn hơn (+30%)","Kích thước",260000
"9ln9h","#E014","Hoa sự kiện E 014","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-014.jpg","Bình thường","Kích thước",50000
"9ln9h","#E014","Hoa sự kiện E 014","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-014.jpg","Lớn hơn (+30%)","Kích thước",65000
"hb1wd","#E015","Hoa sự kiện E 015","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-015.jpg","Bình thường","Kích thước",100000
"hb1wd","#E015","Hoa sự kiện E 015","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-015.jpg","Lớn hơn (+30%)","Kích thước",130000
"vt2so","#E016","Hoa sự kiện E 016","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-016.jpg","Bình thường","Kích thước",100000
"vt2so","#E016","Hoa sự kiện E 016","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-016.jpg","Lớn hơn (+30%)","Kích thước",130000
"9unz","#E020","Hoa sự kiện E 020","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-020.jpg","Bình thường","Kích thước",1000000
"9unz","#E020","Hoa sự kiện E 020","
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-020.jpg","Lớn hơn (+30%)","Kích thước",1300000
"mjsj","#E021","Hoa sự kiện E 021","
<p>Đơn vị tính bằng met, tối thiểu 4m</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-021.jpg","Bình thường","Kích thước",1500000
"mjsj","#E021","Hoa sự kiện E 021","
<p>Đơn vị tính bằng met, tối thiểu 4m</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-021.jpg","Lớn hơn (+30%)","Kích thước",1950000
"gng7o","#undefined","Hoa sự kiện E-023","
<p>Hoa sự kiện đơn vị tính tru.(trụ thủy tinh )</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-023.jpg","Bình thường","Kích thước",1000000
"gng7o","#undefined","Hoa sự kiện E-023","
<p>Hoa sự kiện đơn vị tính tru.(trụ thủy tinh )</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-023.jpg","Lớn hơn (+30%)","Kích thước",1300000
"4g6oou","#undefined","Hoa sự kiện E-024","
<p>Oval bàn hợp tối thiểu 4Oval</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-024.jpg","Bình thường","Kích thước",200000
"4g6oou","#undefined","Hoa sự kiện E-024","
<p>Oval bàn hợp tối thiểu 4Oval</p>
","Hoa sự kiện","https://hoatuoi360.com/contents/images/Products/hoa-su-kien-E-024.jpg","Lớn hơn (+30%)","Kích thước",260000