"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"cmw2b","#SF18002","Hoa Chúc Mừng SF 18002","<p><strong>LẠC QUAN</strong></p>
<p>Theo Khoa học về Phong thủy, màu&nbsp;vàng nghĩa là vui vẻ và phấn khởi. Màu vàng kích thích trí tuệ, kích thích tinh thần để làm việc và học tập. Kệ hoa Chúc mừng với tông màu vàng chủ đạo của Hoa Đồng Tiền, Lily và Lan Mokara sẽ giúp tinh thần của người nhận trở nên phấn chấn và đầy lạc quan, tiếp thêm sức mạnh để thành công trong mọi công việc. Những dịp như khai trương, chúc mừng thăng chức, Chúc mừng... chắn chắn không thể thiếu kệ hoa ý nghĩa này.</p>
","
<p>Kệ Hoa Chúc Mừng gồm Lan Bò Cạp, Hoa Đồng Tiền, Hồng Môn, Lan Mokara cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-khai-truong/SF%2018002.JPG","Bình thường","Kích thước",1000000
"cmw2b","#SF18002","Hoa Chúc Mừng SF 18002","<p><strong>LẠC QUAN</strong></p>
<p>Theo Khoa học về Phong thủy, màu&nbsp;vàng nghĩa là vui vẻ và phấn khởi. Màu vàng kích thích trí tuệ, kích thích tinh thần để làm việc và học tập. Kệ hoa Chúc mừng với tông màu vàng chủ đạo của Hoa Đồng Tiền, Lily và Lan Mokara sẽ giúp tinh thần của người nhận trở nên phấn chấn và đầy lạc quan, tiếp thêm sức mạnh để thành công trong mọi công việc. Những dịp như khai trương, chúc mừng thăng chức, Chúc mừng... chắn chắn không thể thiếu kệ hoa ý nghĩa này.</p>
","
<p>Kệ Hoa Chúc Mừng gồm Lan Bò Cạp, Hoa Đồng Tiền, Hồng Môn, Lan Mokara cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-khai-truong/SF%2018002.JPG","Lớn hơn (+30%)","Kích thước",1300000
"4a8dx","#SF18006","Hoa Chúc Mừng SF 18006","<p><strong>NHIỆT HUYẾT</strong></p>
<p>Hoa đồng tiền tượng trưng cho sự tin tưởng và sự sôi nổi. Những cánh hoa xòe rộng, màu sắc tươi sáng thể hiện sức sống mãnh liệt, sự nhiệt tình trong công việc. Kệ hoa được gửi đi&nbsp;như lời động viên, khích lệ tinh thần thích hợp dùng tặng trong dịp Khai trương, Tốt nghiệp, Thăng chức, Chúc mừng ... chắc chắn sẽ người nhận được sẽ rất vui mừng, phấn khích.&nbsp;</p>
","
<p>Kệ Hoa Chúc Mừng gồm Hoa Đồng Tiền, Hoa Lily, Lan Mokara cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-khai-truong/SF%2018006.JPG","Bình thường","Kích thước",700000
"4a8dx","#SF18006","Hoa Chúc Mừng SF 18006","<p><strong>NHIỆT HUYẾT</strong></p>
<p>Hoa đồng tiền tượng trưng cho sự tin tưởng và sự sôi nổi. Những cánh hoa xòe rộng, màu sắc tươi sáng thể hiện sức sống mãnh liệt, sự nhiệt tình trong công việc. Kệ hoa được gửi đi&nbsp;như lời động viên, khích lệ tinh thần thích hợp dùng tặng trong dịp Khai trương, Tốt nghiệp, Thăng chức, Chúc mừng ... chắc chắn sẽ người nhận được sẽ rất vui mừng, phấn khích.&nbsp;</p>
","
<p>Kệ Hoa Chúc Mừng gồm Hoa Đồng Tiền, Hoa Lily, Lan Mokara cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-khai-truong/SF%2018006.JPG","Lớn hơn (+30%)","Kích thước",910000
"gmin","#BK240","Hoa giỏ BK 240",,"
<p>Hộp Hoa gồm Hoa Hướng Dương, Đồng Tiền, Hồng, Wicky, Trái Cây cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/gio.jpg","Bình thường","Kích thước",1000000
"gmin","#BK240","Hoa giỏ BK 240",,"
<p>Hộp Hoa gồm Hoa Hướng Dương, Đồng Tiền, Hồng, Wicky, Trái Cây cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Nhà Giáo Việt Nam 20/11","https://hoatuoi360.com/contents/images/Products/hoa-gio/gio.jpg","Lớn hơn (+30%)","Kích thước",1300000
"0dz4j","#OR050","Hoa Lan Hồ Điệp OR 050","<p>LAN HỒ ĐIỆP được mệnh danh là “ Nữ hoàng của các loài hoa”,&nbsp;không chỉ có ý nghĩa là sự cao sang, quý phái mà còn là sứ giả truyền tải cảm xúc một cách nhẹ nhàng, hoa còn mang đến cho chúng ta vẻ đẹp tinh khiết của tự nhiên, nét quyến rũ cho không gian sống.</p>
<p>Ngày nay người ta chon LAN HỒ ĐIỆP để tặng nhau vào những dịp khai trương, sinh nhật, hay thăng quan tiến chức...&nbsp;Đặc&nbsp;biệt là dịp&nbsp;mừng xuân<strong>&nbsp;</strong>mới<strong>&nbsp;</strong>như một lời chúc tốt đẹp nhất !</p>
<p><strong>Ý nghĩa lan Hồ&nbsp;Điệp Trắng:&nbsp;</strong>là biểu tượng của sự ngây thơ, xinh đẹp và trang trọng. Bạn có thể dùng chậu hoa lan hồ điệp trắng làm món quà để tặng cho người thân yêu của mình trong những dịp đặcbiệt.</p>
<p><strong>Lưu ý:&nbsp;</strong><em>Giá&nbsp;hoa đã bao gồm chậu và trang&nbsp;trí,&nbsp;giao hoa miễn phí trong nội thành TP.HCM.&nbsp;</em></p>
","
<p>Chậu Lan Hồ Điệp 1 cành trắng.</p>
<p><strong><font color=""#008000"">TIÊU CHUẨN KỸ&nbsp;THUẬT:&nbsp;</font></strong></p>
<p><b>- Cành&nbsp;từ 6 bông + 3 nụ trở lên.</b></p>
<p><b>- Thân&nbsp;cao từ 60cm.</b></p>
<p><b>- Tuổi thọ&nbsp;khoảng 30 ngày</b></p>
","Hoa lan>Hoa lan hồ điệp","https://hoatuoi360.com/contents/images/Products/Phong%20lan%20-%20%C4%90%E1%BB%8Ba%20lan/fhgcfgzcvc.jpg","Bình thường","Kích thước",300000
"0dz4j","#OR050","Hoa Lan Hồ Điệp OR 050","<p>LAN HỒ ĐIỆP được mệnh danh là “ Nữ hoàng của các loài hoa”,&nbsp;không chỉ có ý nghĩa là sự cao sang, quý phái mà còn là sứ giả truyền tải cảm xúc một cách nhẹ nhàng, hoa còn mang đến cho chúng ta vẻ đẹp tinh khiết của tự nhiên, nét quyến rũ cho không gian sống.</p>
<p>Ngày nay người ta chon LAN HỒ ĐIỆP để tặng nhau vào những dịp khai trương, sinh nhật, hay thăng quan tiến chức...&nbsp;Đặc&nbsp;biệt là dịp&nbsp;mừng xuân<strong>&nbsp;</strong>mới<strong>&nbsp;</strong>như một lời chúc tốt đẹp nhất !</p>
<p><strong>Ý nghĩa lan Hồ&nbsp;Điệp Trắng:&nbsp;</strong>là biểu tượng của sự ngây thơ, xinh đẹp và trang trọng. Bạn có thể dùng chậu hoa lan hồ điệp trắng làm món quà để tặng cho người thân yêu của mình trong những dịp đặcbiệt.</p>
<p><strong>Lưu ý:&nbsp;</strong><em>Giá&nbsp;hoa đã bao gồm chậu và trang&nbsp;trí,&nbsp;giao hoa miễn phí trong nội thành TP.HCM.&nbsp;</em></p>
","
<p>Chậu Lan Hồ Điệp 1 cành trắng.</p>
<p><strong><font color=""#008000"">TIÊU CHUẨN KỸ&nbsp;THUẬT:&nbsp;</font></strong></p>
<p><b>- Cành&nbsp;từ 6 bông + 3 nụ trở lên.</b></p>
<p><b>- Thân&nbsp;cao từ 60cm.</b></p>
<p><b>- Tuổi thọ&nbsp;khoảng 30 ngày</b></p>
","Hoa lan>Hoa lan hồ điệp","https://hoatuoi360.com/contents/images/Products/Phong%20lan%20-%20%C4%90%E1%BB%8Ba%20lan/fhgcfgzcvc.jpg","Lớn hơn (+30%)","Kích thước",390000
"o4aq","#OR044","Lan Hồ Điệp OR 044","<p>LAN HỒ ĐIỆP được mệnh danh là “ Nữ hoàng của các loài hoa”,&nbsp;không chỉ có ý nghĩa là sự cao sang, quý phái mà còn là sứ giả truyền tải cảm xúc một cách nhẹ nhàng, hoa còn mang đến cho chúng ta vẻ đẹp tinh khiết của tự nhiên, nét quyến rũ cho không gian sống.</p>
<p>Ngày nay người ta chon LAN HỒ ĐIỆP để tặng nhau vào những dịp khai trương, sinh nhật, hay thăng quan tiến chức...&nbsp;Đặc&nbsp;biệt là dịp&nbsp;mừng xuân<strong>&nbsp;</strong>mới<strong>&nbsp;</strong>như một lời chúc tốt đẹp nhất !</p>
<p><strong>Ý nghĩa lan Hồ&nbsp;Điệp Trắng:&nbsp;</strong>là biểu tượng của sự ngây thơ, xinh đẹp và trang trọng. Bạn có thể dùng chậu hoa lan hồ điệp trắng làm món quà để tặng cho người thân yêu của mình trong những dịp đặcbiệt.</p>
<p><strong>Lưu ý:&nbsp;</strong><em>Giá&nbsp;hoa đã bao gồm chậu và trang&nbsp;trí,&nbsp;giao hoa miễn phí trong nội thành TP.HCM.&nbsp;</em></p>
","
<p>Chậu Lan Hồ Điệp 7 cành trắng.</p>
<p><strong><font color=""#008000"">TIÊU CHUẨN KỸ&nbsp;THUẬT:&nbsp;</font></strong></p>
<p><b>- Cành&nbsp;từ 6 bông + 3 nụ trở lên.</b></p>
<p><b>- Thân&nbsp;cao từ 60cm.</b></p>
<p><b>- Tuổi thọ&nbsp;khoảng 30 ngày</b></p>
","Hoa lan>Hoa lan hồ điệp","https://hoatuoi360.com/contents/images/Products/Phong%20lan%20-%20%C4%90%E1%BB%8Ba%20lan/Lan-ho-diep-OR-44.jpg","Bình thường","Kích thước",1890000
"o4aq","#OR044","Lan Hồ Điệp OR 044","<p>LAN HỒ ĐIỆP được mệnh danh là “ Nữ hoàng của các loài hoa”,&nbsp;không chỉ có ý nghĩa là sự cao sang, quý phái mà còn là sứ giả truyền tải cảm xúc một cách nhẹ nhàng, hoa còn mang đến cho chúng ta vẻ đẹp tinh khiết của tự nhiên, nét quyến rũ cho không gian sống.</p>
<p>Ngày nay người ta chon LAN HỒ ĐIỆP để tặng nhau vào những dịp khai trương, sinh nhật, hay thăng quan tiến chức...&nbsp;Đặc&nbsp;biệt là dịp&nbsp;mừng xuân<strong>&nbsp;</strong>mới<strong>&nbsp;</strong>như một lời chúc tốt đẹp nhất !</p>
<p><strong>Ý nghĩa lan Hồ&nbsp;Điệp Trắng:&nbsp;</strong>là biểu tượng của sự ngây thơ, xinh đẹp và trang trọng. Bạn có thể dùng chậu hoa lan hồ điệp trắng làm món quà để tặng cho người thân yêu của mình trong những dịp đặcbiệt.</p>
<p><strong>Lưu ý:&nbsp;</strong><em>Giá&nbsp;hoa đã bao gồm chậu và trang&nbsp;trí,&nbsp;giao hoa miễn phí trong nội thành TP.HCM.&nbsp;</em></p>
","
<p>Chậu Lan Hồ Điệp 7 cành trắng.</p>
<p><strong><font color=""#008000"">TIÊU CHUẨN KỸ&nbsp;THUẬT:&nbsp;</font></strong></p>
<p><b>- Cành&nbsp;từ 6 bông + 3 nụ trở lên.</b></p>
<p><b>- Thân&nbsp;cao từ 60cm.</b></p>
<p><b>- Tuổi thọ&nbsp;khoảng 30 ngày</b></p>
","Hoa lan>Hoa lan hồ điệp","https://hoatuoi360.com/contents/images/Products/Phong%20lan%20-%20%C4%90%E1%BB%8Ba%20lan/Lan-ho-diep-OR-44.jpg","Lớn hơn (+30%)","Kích thước",2457000
"6a4t2","#OR049","Hoa Lan Hồ Điệp OR 049","<p>LAN HỒ ĐIỆP được mệnh danh là “ Nữ hoàng của các loài hoa”,&nbsp;không chỉ có ý nghĩa là sự cao sang, quý phái mà còn là sứ giả truyền tải cảm xúc một cách nhẹ nhàng, hoa còn mang đến cho chúng ta vẻ đẹp tinh khiết của tự nhiên, nét quyến rũ cho không gian sống.</p>
<p>Ngày nay người ta chon LAN HỒ ĐIỆP để tặng nhau vào những dịp khai trương, sinh nhật, hay thăng quan tiến chức...&nbsp;Đặc&nbsp;biệt là dịp&nbsp;mừng xuân<strong>&nbsp;</strong>mới<strong>&nbsp;</strong>như một lời chúc tốt đẹp nhất !</p>
<p><strong>Ý nghĩa lan Hồ&nbsp;Điệp Đỏ Tía:</strong>&nbsp;tượng trưng cho hoàng gia, sự ngưỡng mộ và tôn trọng. Bạn có thể dùng nó để làm hoa tặng sếp nam nhé.</p>
<p><strong>Lưu ý:&nbsp;</strong><em>Giá&nbsp;hoa đã bao gồm chậu và trang&nbsp;trí,&nbsp;giao hoa miễn phí trong nội thành TP.HCM.&nbsp;</em></p>
","
<p>Chậu Lan Hồ Điệp 5 cành đỏ tía xọc.</p>
<p><strong><font color=""#008000"">TIÊU CHUẨN KỸ&nbsp;THUẬT:&nbsp;</font></strong></p>
<p><b>- Cành&nbsp;từ 6 bông + 3 nụ trở lên.</b></p>
<p><b>- Thân&nbsp;cao từ 60cm.</b></p>
<p><b>- Tuổi thọ&nbsp;khoảng 30 ngày</b></p>
","Hoa lan>Hoa lan hồ điệp","https://hoatuoi360.com/contents/images/Products/Phong%20lan%20-%20%C4%90%E1%BB%8Ba%20lan/DSC_0002.jpg","Bình thường","Kích thước",1350000
